subject,relation,object
中府,拼音,ZhōngFǔ
中府,定位,在胸外侧部，云门下１寸，平第一肋间隙处，距前正中线6寸。
中府,解剖,当胸大肌、胸小肌处，内侧深层为第一肋间内、外肌；上外侧有腋动、静脉，胸肩峰动、静脉；布有锁骨上神经中间支，胸前神经分支及第一肋间神经外侧皮支。
中府,主治,咳嗽，气喘，肺胀满，胸痛，肩背痛。
中府,配伍,配尺泽治咳嗽;配肩髎治肩痛。
中府,刺灸法,向外斜刺或平刺0.5～0.8寸，不可向内深刺，以免伤及肺脏。
中府,附注,肺的募穴，手、足太阴经交会穴。
云门,拼音,Yúnmén
云门,定位,在胸外侧部，肩胛骨喙突上方，锁骨下窝凹陷处，距前正中线６寸。
云门,解剖,有胸大肌，皮下有头静脉通过，深部有胸肩峰动脉分支；布有胸前神经的分支臂丛外侧束、锁骨上神经中后支。
云门,配伍,云门、中府、隐白、期门、肺俞、魂门、大陵，主胸中痛。
云门,主治,咳嗽，气喘，胸痛，肩背痛，胸中烦痛。
云门,刺灸法,向外斜刺０.５～０.８寸，可灸。
天府,拼音,Tiānfǔ
天府,定位,在臂内侧面，肱二头肌桡侧缘，腋前纹头下３寸处。
天府,解剖,肱二头肌外侧沟中；有头静脉及肱动、静脉分支；分布着臂外侧皮神经及肌皮神经。
天府,主治,气喘，鼻衄，瘿气，臂痛。
天府,配伍,配曲池治疗臂痛。
天府,刺灸法,直刺0.5～1寸。
侠白,拼音,Xiábái
侠白,定位,在臂内侧面，肱二头肌桡侧缘，腋前纹头下４寸，或肘横纹上5寸处。
侠白,解剖,肱二头肌外侧沟中；当头静脉及桡动、静脉分支；分布有臂外侧皮神经，当肌皮神经经过处。
侠白,主治,咳嗽，气喘，干呕，烦满，臑痛。
侠白,配伍,"配曲池,肩髎治肩臂痛。"
侠白,刺灸法,直刺0.5～1寸。
尺泽,拼音,Chǐzé
尺泽,定位,在肘横纹中，肱二头肌腱桡侧凹陷处。
尺泽,解剖,在肘关节，当肘二头肌腱之外方，肱桡肌起始部；有桡侧返动、静脉分支及头静脉；布有前臂外侧皮神经，直下为桡神经。
尺泽,主治,咳嗽，气喘，咳血，潮热，胸部胀满，咽喉肿痛，小儿惊风，吐泻，肘臂挛痛。
尺泽,配伍,配太渊，经渠治咳嗽，气喘；配孔最治咳血，潮热；配曲池治肘臂挛痛。
尺泽,刺灸法,直刺0.8～1.2寸；或点刺出血。
尺泽,附注,手太阴经所入为“合”。
孔最,拼音,Kǒngzuì
孔最,定位,在前臂掌面桡侧，当尺泽与太渊连线上，腕横纹上7寸处。
孔最,解剖,有肱桡肌，在旋前圆肌上端之外缘，桡侧腕长、短伸肌的内缘；有头静脉、桡动、静脉；布有前臂外侧皮神经，桡神经浅支。
孔最,主治,咳嗽，气喘，咳血，咽喉肿痛，肘臂挛病，痔疾。
孔最,配伍,配肺俞尺泽治咳嗽，气喘；配鱼际治咳血。
孔最,刺灸法,直刺0.5～1寸。
孔最,附注,手太阴经郄穴。
列缺,拼音,Lìeqūe
列缺,定位,在前臂桡侧缘，桡骨茎突上方，腕横纹上1.5寸，当肱桡肌与拇长展肌腱之间。
列缺,简便取穴法,两手虎口自然乎直交叉，一手食指按在另一手桡骨茎突上，指尖下凹陷中是穴。
列缺,解剖,在肱桡肌腱与拇长展肌腱之间，桡侧腕长伸肌腱内侧；有头静脉，桡动、静脉分支；布有前臂外侧皮神经和桡神经浅支的混合支。
列缺,主治,伤风，头痛，项强，咳嗽，气喘，咽喉肿痛，口眼歪斜，齿痛。
列缺,配伍,配合谷治伤风头痛项强;配肺俞治咳嗽气喘。
列缺,刺灸法,向上斜刺0.3～0.5寸。
列缺,附注,手太阴经络穴；八脉交会穴之一，通于任脉。
经渠,拼音,Jīngqú
经渠,定位,在前臂掌面桡侧，桡骨茎突与桡动脉之间凹陷处，腕横纹上1寸。
经渠,解剖,桡侧腕屈肌腱的外侧，有旋前方肌当桡动、静脉外侧处；布有前臂外侧皮神经和桡神经浅支混合支。
经渠,主治,咳嗽，气喘，胸痛，咽喉肿痛，手腕痛。
经渠,配伍,配肺俞，尺泽治咳嗽。
经渠,刺灸法,避开桡动脉，直刺0.3～0.5寸。
太渊,拼音,Tàiyuān
太渊,定位,在腕掌侧横纹桡侧，桡动脉搏动处。
太渊,解剖,桡侧腕屈肌腱的外侧，拇展长肌腱内测；有桡动、静脉；布有前臂外侧皮神经和桡神经浅支混合支。
太渊,主治,咳嗽，气喘，咳血，胸痛，咽喉肿痛，腕臂痛，无脉症。
太渊,配伍,配尺泽，鱼际，肺俞治咳嗽，咳血，胸痛；配人迎治无脉症。
太渊,刺灸法,避开桡动脉，直刺0.3～0.5寸。
太渊,附注,手太阴经所注为“输”；肺经原穴；脉会太渊
鱼际,拼音,Yújì
鱼际,定位,在手拇指本节（第１掌指关节）后凹陷处，约当第１掌骨中点桡侧，赤白肉际处。
鱼际,解剖,有拇短展肌和拇指对掌肌；血管当拇指静脉回流支；布有前臂外侧皮神经和桡神经浅支混合支。
鱼际,主治,咳嗽，咳血，咽喉肿痛，失音，发热。
鱼际,配伍,"配孔最,尺泽治咳嗽,咳血;配少商治咽喉肿痛。"
鱼际,刺灸法,直刺0.5～0.8寸。
鱼际,附注,手太阴经所溜为“荥”。
少商,拼音,Shàoshāng
少商,定位,在手拇指末节桡侧，距指甲角0.1寸。
少商,解剖,有指掌固有动、静脉所形成的动、静脉网；布有前臂外侧皮神经和桡神经浅支混合支，正中神经的掌侧固有神经的末梢神经网。
少商,主治,咽喉肿痛，咳嗽，鼻衄，发热，昏迷，癫狂。
少商,配伍,三棱针点刺出血，配合谷治咽喉肿痛；配中冲治昏迷，发热。
少商,刺灸法,浅刺0.1寸，或点刺出血。
少商,附注,手太阴经所出为“井”。
商阳,拼音,shāngyáng
商阳,定位,在手食指末节桡侧，距指甲角0.1寸
商阳,解剖,有指及掌背动、静脉网；布有来自正中神经的指掌侧固有神经，桡神经的指背侧神经。
商阳,主治,耳聋，齿痛，咽喉肿痛，颌肿，青盲，手指麻木，热病，昏迷
商阳,配伍,"配少商点刺出血治热病,昏迷。"
商阳,刺灸法,浅刺0.1寸，或点刺出血。
商阳,附注,手阳明经所出为“井”。
二间,拼音,èrjiān
二间,定位,微握拳，当手食指本节（第２掌指关节）前桡侧凹陷中。
二间,解剖,有指屈浅、深肌腱；有来自桡动脉的指背及掌侧动、静脉，布有桡神经的指背侧固有神经，正中神经的指掌侧固有神经。
二间,主治,"目昏，鼻衄，齿痛，口歪，咽喉肿痛,热病。"
二间,配伍,配合谷治齿痛。
二间,刺灸法,直刺0.2～0.3寸。
二间,附注,手阳明经所溜为“荥”。
三间,拼音,Sānjiān
三间,定位,微握拳，在手食指本节（第2掌指关节）后，桡侧凹陷处
三间,解剖,有第一骨间背侧肌，深层为拇内收肌横头；有手背静脉网（头静脉其示部），指掌侧有固有动脉；布有桡神经浅支。
三间,主治,咽喉肿痛，牙痛，腹胀，眼痛，肠泻，洞泄
三间,配伍,目中漠漠，即寻攒竹、三间。
三间,刺灸法,直刺0.3～0.5寸。
三间,附注,手阳明经所注为“输”
合谷,拼音,Hégǔ
合谷,定位,在手背，第1、2掌骨间，当第2掌骨桡侧的中点处。便取穴：以一手的拇指指骨关节横纹，放在另一手拇、食指之间的指蹼缘上，当拇指尖下是穴
合谷,解剖,"在第一、二掌骨之间，第一骨间背侧肌中，深层有拇收肌横头；有手背静脉网,为头静脉的起部，腧穴近侧正当桡动脉从手背穿向手掌之处；布有桡神经浅支的掌背侧神经，深部有正中神经的指掌侧固有神经。"
合谷,主治,"头痛，目赤肿痛，鼻衄，齿痛，牙关紧闭，口眼歪斜，耳聋，痄腮，咽喉肿痛,热病无汗，多汗，腹痛，便秘，经闭，滞产。"
合谷,配伍,"配太阳治头痛;配太冲治目赤肿痛;配迎香治鼻疾；配少商治咽喉肿痛;配三阴交治经闭,滞产;配地仓颊车治眼歪斜。"
合谷,刺灸法,直刺0.5～1寸。
合谷,附注,（1）手阳明经所过为“原”。（2）《神应经》：孕妇不宜针。别名：虎口。
阳溪,拼音,Yángxī
